name,type,start_time,duration,"ack","address","read","data"
"I2C","data",2.1877762,0.0000877,true,,,0x0D
"I2C","data",2.1878688,0.0000877,true,,,0x68
"I2C","data",2.1879613,0.0000877,false,,,0x4C
"I2C","data",2.1880538,0.0000877,false,,,0x00
"I2C","data",2.1881464,0.0000877,false,,,0x0C
"I2C","data",2.1882389,0.0000877,true,,,0x28
"I2C","data",2.1883315,0.0000877,false,,,0x07
"I2C","data",2.188424,0.0000877,true,,,0x80
"I2C","data",2.1885166,0.0000877,false,,,0x07
"I2C","data",2.1886091,0.0000877,true,,,0xA0
"I2C","data",2.1887017,0.0000877,false,,,0x07
"I2C","data",2.1887942,0.0000877,true,,,0x80
"I2C","data",2.1888868,0.0000877,false,,,0x67
"I2C","data",2.1889793,0.0000877,false,,,0xA4
"I2C","data",2.1890718,0.0000877,false,,,0x07
"I2C","data",2.1891644,0.0000877,false,,,0xA4
"I2C","data",2.1892569,0.0000877,false,,,0x07
"I2C","data",2.1893495,0.0000877,false,,,0x80
"I2C","data",2.189442,0.0000877,false,,,0x07
"I2C","data",2.1895345,0.0000878,true,,,0xA2
"I2C","data",2.1896271,0.0000877,false,,,0x07
"I2C","data",2.1897196,0.0000877,true,,,0xA1
"I2C","data",2.1898122,0.0000877,false,,,0x07
"I2C","data",2.1899047,0.0000877,false,,,0xA0
"I2C","data",2.1899973,0.0000877,true,,,0xC9
"I2C","data",2.1900898,0.0000877,true,,,0x00
"I2C","data",2.1901824,0.0000877,true,,,0x09
"I2C","data",2.1902749,0.0000877,false,,,0x20
"I2C","data",2.1903674,0.0000877,true,,,0xC9
"I2C","data",2.19046,0.0000877,false,,,0x21
"I2C","data",2.1905525,0.0000877,true,,,0x49
"I2C","data",2.1906451,0.0000877,true,,,0x23
"I2C","data",2.1907376,0.0000877,true,,,0x29
"I2C","data",2.1908302,0.0000877,false,,,0x25
"I2C","data",2.1909227,0.0000877,true,,,0x49
"I2C","data",2.1910152,0.0000877,false,,,0x26
"I2C","data",2.1911078,0.0000877,true,,,0x29
"I2C","data",2.1912003,0.0000877,true,,,0x27
"I2C","data",2.1912929,0.0000877,true,,,0xA9
"I2C","data",2.1913854,0.0000877,false,,,0x27
"I2C","data",2.191478,0.0000877,true,,,0xC9
"I2C","data",2.1915705,0.0000877,false,,,0x28
"I2C","data",2.191663,0.0000877,true,,,0x09
"I2C","data",2.1917556,0.0000877,false,,,0x28
"I2C","data",2.1918481,0.0000877,true,,,0xE9
"I2C","data",2.1919407,0.0000877,true,,,0x29
"I2C","data",2.1920332,0.0000877,true,,,0xC9
"I2C","data",2.1921258,0.0000876,true,,,0x2A
"I2C","data",2.1922183,0.0000877,true,,,0x69
"I2C","data",2.1923108,0.0000877,false,,,0x2A
"I2C","data",2.1924034,0.0000877,true,,,0xE9
"I2C","data",2.1924959,0.0000877,true,,,0x2C
"I2C","data",2.1925885,0.0000877,true,,,0x89
"I2C","data",2.192681,0.0000877,true,,,0x2D
"I2C","data",2.1927735,0.0000877,true,,,0xE9
"I2C","data",2.1928661,0.0000877,false,,,0x2E
"I2C","data",2.1929586,0.0000877,true,,,0x09
"I2C","data",2.1930512,0.0000877,true,,,0x22
"I2C","data",2.1931437,0.0000877,true,,,0x09
"I2C","data",2.1932363,0.0000877,true,,,0x40
"I2C","data",2.1933288,0.0000877,true,,,0x09
"I2C","data",2.1934214,0.0000877,true,,,0x60
"I2C","data",2.1935139,0.0000877,true,,,0xC9
"I2C","data",2.1936065,0.0000774,true,,,0x67
"I2C","data",2.1936887,0.0000877,false,,,0x34
"I2C","data",2.1937812,0.0000877,true,,,0x30
"I2C","data",2.1938738,0.0000877,false,,,0x54
"I2C","data",2.1939663,0.0000877,true,,,0x30
"I2C","data",2.1940589,0.0000877,false,,,0x54
"I2C","data",2.1941514,0.0000877,true,,,0x30
"I2C","data",2.194244,0.0000877,false,,,0x04
"I2C","data",2.1943365,0.0000877,true,,,0x30
"I2C","data",2.194429,0.0000877,false,,,0x44
"I2C","data",2.1945216,0.0000877,true,,,0x30
"I2C","data",2.1946141,0.0000877,false,,,0x04
"I2C","data",2.1947066,0.0000878,true,,,0x30
"I2C","data",2.1947992,0.0000877,false,,,0x04
"I2C","data",2.1948917,0.0000878,true,,,0x30
"I2C","data",2.1949843,0.0000877,false,,,0x04
"I2C","data",2.1950768,0.0000878,true,,,0x30
"I2C","data",2.1951694,0.0000877,false,,,0x04
"I2C","data",2.1952619,0.0000878,true,,,0x30
"I2C","data",2.1953545,0.0000877,false,,,0x04
"I2C","data",2.195447,0.0000877,true,,,0x30
"I2C","data",2.1955396,0.0000877,false,,,0x04
"I2C","data",2.1956321,0.0000877,true,,,0x30
"I2C","data",2.1957247,0.0000878,false,,,0x04
"I2C","data",2.1958172,0.0000877,true,,,0x60
"I2C","data",2.1959098,0.0000877,false,,,0x04
"I2C","data",2.1960023,0.0000877,true,,,0x70
"I2C","data",2.1960949,0.0000877,false,,,0x84
"I2C","data",2.1961874,0.0000877,false,,,0x70
"I2C","data",2.1962799,0.0000878,false,,,0x94
"I2C","data",2.1963725,0.0000877,true,,,0x70
"I2C","data",2.1964651,0.0000876,false,,,0x24
"I2C","data",2.1965576,0.0000877,true,,,0x70
"I2C","data",2.1966501,0.0000877,false,,,0xC4
"I2C","data",2.1967427,0.0000877,true,,,0x71
"I2C","data",2.1968352,0.0000877,false,,,0x44
"I2C","data",2.1969278,0.0000774,false,,,0x78
"I2C","data",2.19701,0.0000877,true,,,0x82
"I2C","data",2.1971026,0.0000877,false,,,0xB8
"I2C","data",2.1971951,0.0000877,true,,,0x42
"I2C","data",2.1972877,0.0000876,false,,,0xB8
"I2C","data",2.1973802,0.0000877,true,,,0x32
"I2C","data",2.1974727,0.0000877,true,,,0xB8
"I2C","data",2.1975653,0.0000877,true,,,0x12
"I2C","data",2.1976578,0.0000877,true,,,0xBA
"I2C","data",2.1977504,0.0000877,true,,,0xC2
"I2C","data",2.1978429,0.0000877,true,,,0xBA
"I2C","data",2.1979355,0.0000876,true,,,0x02
"I2C","data",2.198028,0.0000877,true,,,0xB8
"I2C","data",2.1981205,0.0000877,true,,,0x02
"I2C","data",2.1982131,0.0000877,true,,,0xB8
"I2C","data",2.1983056,0.0000877,true,,,0x03
"I2C","data",2.1983982,0.0000877,false,,,0x1B
"I2C","data",2.1984907,0.0000877,false,,,0x6A
"I2C","data",2.1985832,0.0000877,true,,,0x20
"I2C","data",2.1986758,0.0000877,false,,,0x02
"I2C","data",2.1987683,0.0000877,true,,,0x40
"I2C","data",2.1988609,0.0000877,true,,,0x03
"I2C","data",2.1989534,0.0000877,true,,,0x28
"I2C","data",2.199046,0.0000774,false,,,0x89
"I2C","data",2.1991282,0.0000877,false,,,0x18
"I2C","data",2.1992208,0.0000877,true,,,0x45
"I2C","data",2.1993133,0.0000877,true,,,0xFD
"I2C","data",2.1994059,0.0000877,false,,,0x01
"I2C","data",2.1994984,0.0000877,true,,,0x1C
"I2C","data",2.199591,0.0000877,true,,,0x41
"I2C","data",2.1996835,0.0000877,false,,,0xD8
"I2C","data",2.1997761,0.0000877,true,,,0x99
"I2C","data",2.1998686,0.0000877,true,,,0xE1
"I2C","data",2.1999612,0.0000877,true,,,0x95
"I2C","data",2.2000537,0.0000877,false,,,0xDC
"I2C","data",2.2001462,0.0000877,true,,,0x91
"I2C","data",2.2002388,0.0000877,false,,,0xE4
"I2C","data",2.2003313,0.0000877,true,,,0xF1
"I2C","data",2.2004238,0.0000877,true,,,0xCD
"I2C","data",2.2005164,0.0000877,true,,,0xBD
"I2C","data",2.2006089,0.0000877,true,,,0xD1
"I2C","data",2.2007015,0.0000877,true,,,0x5D
"I2C","data",2.200794,0.0000877,false,,,0xD5
